,ClassID,ExptID,BatchID,Drive,JV_ok,PL_ok,DF_ok,Temp (deg C),RH (%),Oxygen (%),Illum (Nsuns),MA fraction,PLQY_0,xy1t0_0,xy0t1_0,xy0t1Norm_0,xy1t1_0,t0xy1_0,t1xy0_0,xy2t0,xy3t0,xy2t1,xy3t1,frac_bright_0,pred_horiz,QFLS_0,beta_mean,beta_std,cv_slopes,dDFmeandt,dDFmediandt,dDFstddt,dDFskewdt,dDFkurtdt,d2DFmeandt2,d2DFmediandt2,d2DFstddt2,d2DFskewdt2,d2DFkurtdt2,DFmean_0,DFmedian_0,DFstd_0,DFskew_0,DFkurtdt_0,Jmpp_0,Vmpp_0,Pmpp_0,Jsc_0,Voc_0,dJmppdt,dVmppdt,dPmppdt,dJscdt,dVocdt,ddJmppdt2,ddVmppdt2,ddPmppdt2,ddJscdt2,ddVocdt2,Jschyst_0,Vochyst_0,FFhyst_0,dJsc_fwddt,dVoc_fwddt,dFF_fwddt,dJsc_revdt,dVoc_revdt,dFF_revdt,ddJsc_fwddt2,ddVoc_fwddt2,ddFF_fwddt2,ddJsc_revdt2,ddVoc_revdt2,ddFF_revdt2,dPLdt,ddPLdt2,t_Jsc75,t_Voc75,t_PCE75,t_Jsc75_max,t_Voc75_max,t_PCE75_max,dxy1t0dt,dxy0t1dt,dxy0t1Normdt,dxy1t1dt,dt0xy1dt,dt1xy0dt,dfrac_brightdt,dxy2t0dt,dxy3t0dt,dxy2t1dt,dxy3t1dt,dbeta_meandt,dbeta_stddt,dcv_slopesdt,ddxy1t0,ddxy0t1,ddxy0t1Norm,ddxy1t1,ddt0xy1,ddt1xy0,ddfrac_bright,ddxy2t0,ddxy3t0,ddxy2t1,ddxy3t1,ddbeta_mean,ddbeta_std,ddcv_slopes,t_Vocmax,t_FF90,t_Jsc90,DFCV_0,dDFCVdt,d2DFCVdt2
0,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_35C_40RH_air,YM7-2,EP3,TRUE,TRUE,TRUE,35,40,21,1,1,0.001268693,8.16E+17,4.96E+16,0.026350003,9.64916E+15,6.32E+17,2.84E+17,14.38155003,517.5240768,1.970760313,21.89309768,0.657857755,90,1.161409902,1.88084E+14,6.10676E+14,0.397877126,-9.024182625,-3.866666667,-10.80556405,-5.72E-05,-0.000512912,1.180974723,0.944444444,1.06815767,-1.17E-05,-0.000293328,57319.97189,47690,43012.25842,6.967925377,59.1455964,0.019884485,0.73,0.014515674,0.02249502,0.96807453,-9.48E-06,0.000333333,-5.07E-07,-1.37E-05,0.000134244,1.64E-08,-1.28E-05,-2.44E-07,2.67E-07,-1.89E-06,7.83E-06,0.011767984,0.005168862,-1.16E-05,8.33E-05,7.98E-05,-1.15E-05,3.25E-06,-0.000185307,2.65E-07,-1.26E-06,5.69E-06,2.67E-07,1.14E-07,8.17E-06,-0.000952714,7.84E-05,3405,,3270,3405,,3210,0.003069918,-0.005388844,-0.004039971,0.001105978,0.005646277,-0.002557525,0.001789809,-0.006625392,-0.008067608,0.006464842,1.14472E+14,8.98E-05,0.003553491,0.001465299,3.40E-05,0.000194555,0.00011361,-5.84E-05,-2.08E-05,0.000149078,-8.07E-05,9.79E-05,5.81E-05,-0.000955767,-0.001409033,5.19E-05,-0.000354862,-9.09E-05,1995,3615,270,0.750388686,-7.13E-05,3.24E-06
1,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_35C_50RH_air,YM7-12,EP3,TRUE,TRUE,TRUE,35,50,21,1,1,0.001448676,7.13E+17,5.39E+16,0.024486915,1.20E+16,6.65E+17,1.84E+17,3.650694783,38.51428941,7.307016458,286.9664744,0.17707752,90,1.164839473,-6.04189E+14,9.05829E+14,0.578565195,-10.76568197,-9.466666667,-8.705649567,0.000354468,0.012558017,1.143383311,0.962222222,0.871786129,-2.50E-05,-0.000924808,60516.33847,52370,36115.63837,6.84645685,57.56214514,0.019907977,0.76,0.015130062,0.022648473,0.9789394,-8.93E-06,0.000183333,-3.25E-06,-1.94E-05,0.000113944,-1.28E-07,-5.00E-06,-2.00E-07,1.51E-07,4.84E-06,7.33E-07,0.005635189,0.0206182,-1.57E-05,2.33E-05,-0.000336616,-1.55E-05,0.000265229,-0.000252349,1.00E-07,7.21E-07,1.92E-05,1.07E-07,-9.70E-06,1.17E-05,-0.001595368,0.000276763,4080,,2085,4080,,1950,0.003962407,-0.003636595,-0.00094725,-0.000523241,0.004442881,0.000285006,0.00742777,-0.011758382,-0.012936935,-0.013518428,9.8421E+12,-0.018773853,-0.003553665,-0.000789601,0.000113515,0.000309369,-1.30E-05,0.000304866,9.59E-05,0.000157874,-0.000601752,0.001037844,0.001127711,0.001152844,0.001116101,0.001413435,0.000424832,0.000113659,1515,1710,180,0.596791532,-3.82E-05,3.18E-06
2,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_40RH_air,YM7-10,EP3,FALSE,FALSE,FALSE,45,40,21,1,1,0.001071402,4.15E+17,4.57E+16,0.02826219,7.1906E+15,3.91E+17,1.35E+17,0.091099411,1.293997128,0.338820336,3.245998193,0.546562962,90,1.157040433,3.18609E+13,5.23779E+14,0.460950233,-40.45569064,-35.53333333,-15.31135908,8.66E-05,0.003658908,0.753228152,0.573333333,1.144343455,2.59E-06,-7.00E-05,67710.4888,58170,40078.55814,6.582517518,53.23877371,0.019204098,0.75,0.014403074,0.02123712,0.95940052,-1.66E-05,0.000366667,-5.78E-06,-1.83E-05,0.000181047,4.70E-10,-2.78E-06,-6.05E-08,2.69E-07,-4.62E-06,1.60E-06,0.021451423,0.022698198,-1.67E-05,0.000103837,-0.000139808,-1.66E-05,-2.48E-06,-0.000188744,2.48E-07,-2.83E-06,1.39E-05,2.55E-07,-7.21E-07,7.16E-06,-0.001755157,0.00010785,3540,,3360,3435,,3285,0.007280682,-0.003785071,-0.001296587,0.003192443,0.008131174,-0.002423482,0.002292322,-0.05474385,-0.025992953,-0.017818214,9.31228E+14,0.079230688,-0.00056779,0.000695431,-0.000347069,0.000392099,0.000279657,0.000110216,-0.000393071,0.000148891,-0.000183324,0.005342793,0.002290226,0.00180994,0.001661383,-0.005677992,0.000233598,-3.83E-05,1275,1860,180,0.591910631,0.000132401,1.07E-05
3,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_60RH_air,YM7-6,EP3,TRUE,TRUE,TRUE,45,60,21,1,1,0.000879826,4.21E+17,4.14E+16,0.03187487,7.87524E+15,4.12E+17,8.65E+16,-0.102966653,-0.078829707,0.141230077,-0.059029258,0.482552083,90,1.151947616,-6.9453E+13,5.33384E+14,0.484795107,29.57729956,-5.6,18.11936292,-0.012740494,-0.173615231,-0.708555108,-1.017777778,1.650846076,-0.000236782,-0.003511397,63677.92087,56040,32697.76621,6.763207673,57.44616006,0.019065543,0.78,0.014871124,0.021499482,0.98094642,-1.63E-05,0.000366667,-6.08E-06,-2.18E-05,0.000112749,-3.04E-08,-2.78E-06,-8.47E-08,2.40E-07,6.05E-07,5.68E-06,0.002171785,0.010513326,-1.99E-05,1.75E-05,-8.59E-05,-1.97E-05,3.23E-05,-0.000494724,1.79E-07,3.87E-09,1.49E-05,1.75E-07,-4.15E-07,1.48E-05,0.000251834,4.25E-05,2475,,1815,2475,,1815,0.006603813,-0.007317244,-0.006959705,-0.004225274,0.006821296,-0.00133633,0.000937658,0.010966654,0.093991778,0.011134211,-4.71E+16,-0.001775127,-0.004395099,0.000108158,-0.000267462,0.000407678,0.000336511,0.000230304,-0.000276662,7.09E-05,-0.000373157,-0.003093576,-0.020841918,0.002352453,-0.020725267,0.004305868,0.000409161,2.65E-06,1080,1725,225,0.513486712,4.64E-05,3.11E-05
4,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_50RH_air,YM7-4,EP3,TRUE,TRUE,TRUE,45,50,21,1,1,0.000980567,2.25E+17,4.49E+16,0.029426042,8.17048E+15,1.95E+17,9.77E+16,8.785186781,430.7874888,7.759409528,136.6759426,0.718360521,90,1.154750139,3.51567E+14,7.78952E+14,0.605462182,-16.68220957,-8.533333333,-12.98262988,-0.000625182,-0.008258809,1.937083461,1.635555556,1.267441182,2.67E-06,0.000206778,65531.3429,56230,37641.71818,6.304030035,49.46374951,0.020518815,0.75,0.015389111,0.023101143,0.985817,-2.28E-05,0.0007,-3.74E-06,-2.72E-05,7.49E-05,3.74E-07,-1.28E-05,1.31E-08,5.57E-07,4.63E-06,7.23E-06,0.009609105,0.022588634,-2.58E-05,0.000114461,-0.000364084,-2.56E-05,7.96E-06,-0.000788096,5.05E-07,4.37E-07,1.48E-05,5.08E-07,7.55E-07,1.47E-05,0.000598812,0.00012294,2550,,2205,2550,,2205,0.01999143,-0.004756033,-0.004597487,-0.003105748,0.024623286,-3.35E-05,-0.002778,-0.01381986,-0.013482496,-0.013008744,3.29244E+13,-0.01659127,-0.006633338,-0.001686606,-0.000569976,0.000338017,0.000219518,0.000426026,-0.000767696,0.000178083,-0.000113185,0.001008097,0.001063317,0.001110879,0.001234989,3.10E-05,0.000545766,0.000120397,930,2205,120,0.574407856,-5.29E-05,2.44E-06
5,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_25C_40RH_air_bad_DF,YM7-11,EP3,TRUE,TRUE,FALSE,25,40,21,1,1,0.002145619,1.54E+18,9.20E+16,0.028312687,4.93E+16,1.48E+18,1.53E+17,5.856923457,71.44780431,2.105050891,9.479718616,0.743669577,90,1.174993537,2.84608E+15,4.8501E+15,0.741144507,-3.068803615,-3.133333333,-0.589619475,0.006423891,0.1984282,0.146011183,0.153333333,0.017699914,-0.00060554,-0.017768041,18518.52694,18300,800.3613857,2.127941939,29.30441949,0.018300558,0.7,0.012810391,0.022965903,0.99381459,8.17E-06,0.000116667,7.97E-06,-1.51E-05,-2.85E-05,-8.95E-07,2.11E-05,-2.17E-07,5.21E-07,-2.82E-06,1.02E-05,0.02013614,0.02135743,-1.46E-05,4.70E-05,-0.000870387,-1.47E-05,6.52E-06,-0.000796161,6.80E-07,1.03E-06,1.63E-05,6.78E-07,-1.13E-06,2.50E-05,-0.001718067,0.000200854,1380,,2550,1380,,2325,-0.002549887,-0.006693159,-0.005998583,-0.006289188,-0.002586972,-0.003749881,0.001375306,-0.00036088,0.003824326,0.006357174,-4.12895E+14,-0.010192377,-0.006063698,0.002207128,0.000444214,0.000293345,0.000146235,0.000232336,0.000432247,0.000367675,-2.05E-05,0.000521327,0.000712402,-0.001146977,-0.004941247,0.000357076,0.000261728,-0.000176606,2280,,240,0.043219495,-2.50E-05,6.18E-07
6,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_40RH_air_2,YM7-3,EP3,TRUE,TRUE,TRUE,45,40,21,1,1,0.000889556,4.81E+17,4.39E+16,0.033432242,1.69E+16,4.73E+17,8.25E+16,-0.28069432,-0.089622928,3.714655068,19.99876496,0.70847886,90,1.152231956,4.53414E+14,1.44317E+15,0.570208982,1.773389629,-1.266666667,-2.162577783,-0.001524917,-0.02653367,1.344118553,1.215555556,0.310338701,-3.41E-05,-0.000602823,64183.51166,55730,36628.57532,6.435924546,49.8113956,0.020723397,0.76,0.015749781,0.02331406,0.98027311,-1.32E-05,0.000366667,-2.77E-06,-1.46E-05,6.82E-05,1.46E-07,-2.78E-06,4.87E-08,1.37E-07,4.52E-07,6.50E-06,0.017592763,0.01308083,-1.44E-05,0.000108704,-0.000395995,-1.44E-05,8.02E-06,-0.000385125,1.63E-07,-9.88E-07,-2.16E-06,1.60E-07,3.02E-07,1.20E-06,0.001721286,6.03E-05,2865,,2400,2865,,2400,0.008337515,-0.005218581,-0.005386903,-0.005800143,0.008458695,0.00143315,-0.002126877,-0.011920791,-0.360474462,-0.005780767,2.00494E+14,-0.011089403,-0.006772811,-0.000790411,-0.000140711,0.00021355,0.000130914,7.83E-06,-0.000149716,8.75E-05,-0.000164978,-0.000914078,-0.029711488,-0.000367312,-0.000791046,-0.00028914,7.86E-05,1.21E-05,1140,2310,345,0.570685124,-5.00E-05,-7.21E-06
7,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_25C_30RH_air,YM7-5,EP3,TRUE,TRUE,TRUE,25,30,21,1,1,0.00172283,1.08E+18,5.89E+16,0.023054393,1.78E+16,1.05E+18,1.79E+17,1.63367344,6.133095142,3.184489483,15.68201537,0.291927083,90,1.169320082,-5.21812E+14,1.36119E+15,0.577797544,-23.53983094,-19,-19.46249473,-0.000132327,0.002851824,1.661330164,1.371111111,1.217183278,-3.29E-05,-0.001060892,62115.09654,54590,34094.15738,7.430072084,69.801197,0.020666628,0.7,0.01446664,0.022971172,1.0046115,-2.15E-05,0.000933333,2.85E-06,-1.56E-05,6.64E-06,5.69E-07,-4.11E-05,-4.34E-07,4.55E-07,-6.47E-06,1.39E-05,0.040397889,0.024330925,-1.36E-05,0.000105832,0.00017013,-1.36E-05,-1.15E-05,-0.000281936,4.12E-07,-9.53E-06,1.33E-05,4.12E-07,-8.48E-07,2.10E-05,-0.004413496,0.000256447,5640,,5685,5640,,4410,-0.003463518,-0.008002134,-0.005402296,-0.005691797,-0.00340888,-0.004734221,0.001917741,0.013412848,0.015574362,0.00254998,-2.3754E+14,-0.008074411,-0.005437692,0.001926984,0.000698193,0.000328968,0.000149585,0.000274061,0.000710243,0.000350605,-0.000166764,-0.00185955,-0.004316793,-0.000697927,-0.001126476,0.000568342,9.52E-05,-0.000379417,3300,,300,0.548886813,-0.000108356,5.03E-06
8,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_25C_70RH_air,YM12-2,EP3,TRUE,TRUE,TRUE,25,70,21,1,1,0.002817976,3.42E+18,1.17E+17,0.028363929,5.61E+16,3.40E+18,3.31E+17,5.488236009,43.93940868,0.404906363,1.427029388,0.829726801,90,1.182040527,4.81058E+15,5.09199E+15,0.26286115,56.24327363,36.33333333,27.46705116,-0.005019115,-0.015659886,-1.540771021,-1.12,4.040479341,0.000600679,0.011905046,67411.76996,58290,40859.05304,6.904101364,59.07382269,0.01909083,0.76,0.014509031,0.0216974,0.97230132,-1.55E-05,0.000516667,-2.42E-06,-2.02E-05,0.000292455,2.18E-08,-7.78E-06,-1.35E-07,5.73E-07,-8.64E-06,4.00E-07,0.015895093,0.023219384,-2.16E-05,0.000210223,-0.000262485,-2.17E-05,0.000521618,0.000252429,5.39E-07,4.16E-06,5.06E-06,5.43E-07,4.08E-05,2.45E-05,0.000394938,3.38E-05,900,,1020,900,,1020,0.006478575,-0.003074365,-0.006123117,0.053368646,0.006502427,0.000229219,-0.008761473,-0.003396858,-0.008480526,0.211376633,1.55E+16,-0.007639847,0.039323883,0.00822752,8.79E-05,0.000471648,0.000348268,0.00047801,8.80E-05,0.000159913,0.000344474,0.000300549,0.000393036,-0.013843447,-0.025594855,0.00102654,0.00054668,-0.000263652,1020,1125,210,0.60611156,-9.02E-05,7.13E-05
9,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_70RH_air,YM12-8,EP3,TRUE,TRUE,TRUE,45,70,21,1,1,0.001172826,7.74E+17,6.80E+16,0.038433713,3.01E+16,7.63E+17,1.34E+17,-0.392527897,-1.388009263,0.330363182,-0.342942929,0.74983724,90,1.15937868,2.71972E+15,2.49116E+15,0.840891856,-8.779316639,-6.8,-8.839120568,-0.000319892,-0.002394533,-0.261803398,-0.368888889,0.663005529,2.92E-06,1.64E-05,70615.86466,60740,42386.58245,6.208920418,46.60313968,0.018370117,0.72,0.013226484,0.021304455,0.94757511,8.32E-06,0.000783333,2.08E-05,-6.10E-06,0.000299912,-3.87E-07,-1.78E-05,-6.11E-07,1.42E-07,-1.37E-05,1.65E-06,0.028753423,0.024713366,-5.25E-06,0.00012746,-0.000795332,-5.25E-06,9.47E-06,-0.000763106,1.30E-07,7.25E-07,2.98E-05,1.28E-07,1.13E-06,3.04E-05,0.001478484,4.51E-05,1725,,1635,1725,,1455,0.005393288,-0.003091081,-0.004103201,0.00227083,0.005396134,0.003657251,-0.008813825,-0.004855108,0.002303527,0.02650752,-1.22E+16,-0.02498732,0.001338344,0.000253619,-3.73E-05,0.000527445,0.000492653,0.000514393,-4.57E-05,0.000336662,0.000475678,-0.000238339,-3.62E-05,0.001107281,-0.00474526,0.00166089,0.00043234,2.35E-05,1290,2010,1020,0.60024164,-5.07E-05,1.16E-05
10,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_35C_60RH_air,YM14-10,EP3,TRUE,TRUE,TRUE,35,60,21,1,1,0.001571269,9.37E+17,5.68E+16,0.025555924,1.60E+16,9.25E+17,1.42E+17,-0.454132777,0.071058256,2.797365939,40.7241186,0.606744026,90,1.166939529,-1.67788E+14,1.43242E+15,0.504519904,-31.11795535,-25.4,-12.71285706,0.000588333,0.010260514,2.353605469,2.228888889,0.879784331,-1.77E-05,-0.000311826,113752.0851,106430,38489.45125,4.973345592,37.41953385,0.020429063,0.79,0.01613896,0.022608177,1.0109167,-9.16E-06,0.000666667,6.01E-06,-1.11E-05,0.000191659,8.63E-08,-1.25E-19,6.10E-08,4.07E-07,5.52E-06,4.27E-06,0.022951309,0.012240396,-1.09E-05,-1.70E-05,-0.000760392,-1.08E-05,-5.28E-05,-0.00043961,3.88E-07,8.16E-06,1.43E-05,3.93E-07,2.38E-06,8.35E-06,0.004412679,0.000158668,1290,,1065,1290,,855,0.013923851,-0.004689145,-0.006531955,0.002713081,0.014053977,0.00613688,-0.0061767,-0.004671456,-0.315314508,-0.012613363,3.20501E+14,0.109932953,-0.000328861,0.002372543,8.68E-06,0.000391443,0.000243227,0.000390925,4.82E-06,0.000191904,0.00042164,-0.000235072,0.023709221,0.001309299,0.001153772,-0.003217824,0.000617332,-3.02E-05,1035,735,435,0.3383626,-1.96E-05,7.47E-07
11,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_30RH_air,YM14-11,EP3,TRUE,TRUE,TRUE,45,30,21,1,1,0.000765541,5.01E+17,1.09E+17,0.081383483,6.50E+16,4.96E+17,1.19E+17,-0.200739889,-1.59258368,-0.318746811,-1.662154419,0.879903341,90,1.14835057,6.47651E+15,4.9875E+15,1.709549503,37.78218218,12.06666667,1.620687491,-0.008809006,-0.09678096,2.881433778,1.346666667,1.974661459,-0.000221631,-0.003282611,78848.82032,68100,50827.39428,6.429940025,51.84131307,0.01737022,0.73,0.012680261,0.021554397,0.92781933,2.35E-05,0.001233333,4.06E-05,-1.19E-05,0.000798343,-1.48E-06,-3.39E-05,-1.72E-06,5.69E-07,-5.69E-05,6.00E-07,0.014047729,0.036775219,-1.13E-05,0.000191537,-0.000688879,-1.12E-05,0.000721345,-0.000621434,5.09E-07,-2.27E-06,1.24E-05,5.13E-07,5.23E-06,2.34E-05,0.027650929,-0.000940358,3306,,2856,3306,,1491,0.052856516,-0.007384549,-0.010267164,-0.007849807,0.053254823,0.007110095,-0.008966388,0.009226893,0.001065009,-0.011034729,-1.59E+16,-0.016783666,-0.008735142,-0.0150511,-0.001724891,0.000586804,0.000754787,0.000658895,-0.00173593,-6.91E-05,0.000753934,-0.001053644,5.24E-06,0.000436524,2.65E-05,0.00148835,0.000660297,0.001109184,1050,1836,1185,0.644618322,-0.000282299,1.80E-06
12,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_35C_70RH_air,YM14-14,EP3,TRUE,TRUE,TRUE,35,70,21,1,1,0.00129095,1.01E+18,5.05E+16,0.02975322,1.61E+16,1.00E+18,1.19E+17,-0.366030042,-1.618065409,-0.234076803,-1.367687369,0.857553998,90,1.161859495,6.07592E+14,5.97484E+14,0.525626406,28.56054649,12.76666667,14.4607673,-0.004588963,-0.05595316,0.62999843,0.255555556,0.727222287,-4.57E-05,-0.000605889,74126.19709,64610,44691.10001,6.49461458,51.11126589,0.016794703,0.77,0.012931922,0.02133425,0.96419738,3.63E-05,0.000483333,3.73E-05,-5.18E-06,0.00040668,-1.97E-06,-1.33E-05,-1.76E-06,1.15E-07,-2.80E-05,2.60E-06,0.028300721,0.063244248,-4.65E-06,-1.52E-05,-0.000491406,-4.65E-06,-4.95E-06,-0.001041242,1.15E-07,1.77E-06,1.81E-05,1.15E-07,-1.44E-06,6.42E-05,0.007474534,-0.0003277,2758,2773,2535,2758,2758,2370,0.012790008,0.00068631,-0.002356801,0.006045653,0.012868467,0.005928387,-0.009162033,0.001593201,4.96E-05,0.005260167,-9.42402E+15,-0.040204656,0.01143793,6.13E-05,-0.000580691,6.96E-05,0.000185365,-0.000156546,-0.000585913,-0.000159366,0.000705295,-0.000258158,5.37E-06,-0.000449079,-5.72E-05,0.002178288,-0.000218819,2.31E-05,765,2535,1875,0.602905609,-3.63E-05,4.67E-06
13,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_35C_70RH_air_2,YM14-5,EP3,TRUE,TRUE,TRUE,35,70,21,1,1,0.001669975,7.13E+17,6.48E+16,0.025285502,1.59E+16,7.01E+17,1.34E+17,-0.266462681,-1.282462956,0.07579065,-0.026089523,0.306039663,90,1.16851455,-1.62947E+15,1.78605E+15,0.766408529,-6.034473074,-10.53333333,-8.139260122,-0.003779862,-0.051346775,2.43714987,1.915555556,1.338285907,-7.45E-05,-0.001020807,70038.97599,63920,31282.85649,7.183748283,62.2643394,0.019824217,0.76,0.015066405,0.022233828,0.99186092,-5.60E-06,0.000666667,8.72E-06,-1.25E-05,0.000175158,1.05E-07,1.50E-19,7.51E-08,6.26E-07,1.16E-06,4.60E-06,0.009759397,0.013392483,-1.18E-05,6.39E-05,-0.000756345,-1.18E-05,-2.43E-05,-0.000812375,5.95E-07,1.17E-06,1.82E-05,5.94E-07,2.49E-06,1.51E-05,0.005190711,0.000111225,3225,4140,2820,3225,5550,2460,0.020691365,-0.002704728,-0.005174843,0.00406834,0.021056412,0.006358204,-0.002100361,0.000537611,0.00404034,-0.031749923,-5.66E+17,0.001128879,-0.001685285,-0.001451412,-0.000143147,0.000233293,0.000143773,7.85E-05,-0.000144748,-4.18E-05,9.34E-05,9.84E-05,-0.000133012,0.001114558,-0.053475808,0.000142117,0.000285651,7.64E-05,5535,2700,1110,0.446649256,-7.84E-05,3.70E-06
