,ClassID,ExptID,BatchID,Drive,JV_ok,PL_ok,DF_ok,Shunted,Temp (deg C),RH (%),Oxygen (%),Illum (Nsuns),MA fraction,PLQY_0,xy1t0_0,xy0t1_0,xy0t1Norm_0,xy1t1_0,t0xy1_0,t1xy0_0,xy2t0,xy3t0,xy2t1,xy3t1,frac_bright_0,pred_horiz,QFLS_0,beta_mean,beta_std,cv_slopes,dDFmeandt,dDFmediandt,dDFstddt,dDFskewdt,dDFkurtdt,d2DFmeandt2,d2DFmediandt2,d2DFstddt2,d2DFskewdt2,d2DFkurtdt2,DFmean_0,DFmedian_0,DFstd_0,DFskew_0,DFkurtdt_0,Jmpp_0,Vmpp_0,Pmpp_0,Jsc_0,Voc_0,dJmppdt,dVmppdt,dPmppdt,dJscdt,dVocdt,ddJmppdt2,ddVmppdt2,ddPmppdt2,ddJscdt2,ddVocdt2,Jschyst_0,Vochyst_0,FFhyst_0,dJsc_fwddt,dVoc_fwddt,dFF_fwddt,dJsc_revdt,dVoc_revdt,dFF_revdt,ddJsc_fwddt2,ddVoc_fwddt2,ddFF_fwddt2,ddJsc_revdt2,ddVoc_revdt2,ddFF_revdt2,dPLdt,ddPLdt2,t_Jsc75,t_Voc75,t_PCE75,t_Jsc75_max,t_Voc75_max,t_PCE75_max,dxy1t0dt,dxy0t1dt,dxy0t1Normdt,dxy1t1dt,dt0xy1dt,dt1xy0dt,dfrac_brightdt,dxy2t0dt,dxy3t0dt,dxy2t1dt,dxy3t1dt,dbeta_meandt,dbeta_stddt,dcv_slopesdt,ddxy1t0,ddxy0t1,ddxy0t1Norm,ddxy1t1,ddt0xy1,ddt1xy0,ddfrac_bright,ddxy2t0,ddxy3t0,ddxy2t1,ddxy3t1,ddbeta_mean,ddbeta_std,ddcv_slopes,t_Vocmax,t_FF90,t_Jsc90,DFCV_0,dDFCVdt,d2DFCVdt2,sexp_beta,sexp_tau,sexp_R2,sexp_MAE,sexp_RMSE,sexp_Jsc75,sexpsig_beta,sexpsig_tau,sexpsig_a0,sexpsig_shift,sexpsig_sharp,sexpsig_R2,sexpsig_MAE,sexpsig_RMSE,sexpsig_Jsc75,quint_c5,quint_c4,quint_c3,quint_c2,quint_c1,quint_c0,quint_R2,quint_MAE,quint_RMSE,quint_Jsc75,plin_y1,plin_y2,plin_y3,plin_t1,plin_t2,plin_t3,plin_R2,plin_MAE,plin_RMSE,plin_Jsc75,t_Jsc80,t_PCE80,Rs_hyst,Rsh_hyst,n_id_hyst,J0_hyst,JL_hyst,Rs_fwd_0,Rsh_fwd_0,n_id_fwd_0,J0_fwd_0,JL_fwd_0,Rs_rev_0,Rsh_rev_0,n_id_rev_0,J0_rev_0,JL_rev_0,dRs_fwd_dt,dRsh_fwd_dt,dn_id_fwd_dt,dJ0_fwd_dt,dJL_fwd_dt,dRs_rev_dt,dRsh_rev_dt,dn_id_rev_dt,dJ0_rev_dt,dJL_rev_dt,ddRs_fwd_dt2,ddRsh_fwd_dt2,ddn_id_fwd_dt2,ddJ0_fwd_dt2,ddJL_fwd_dt2,ddRs_rev_dt2,ddRsh_rev_dt2,ddn_id_rev_dt2,ddJ0_rev_dt2,ddJL_rev_dt2,frac_Rs_rev_FF90,frac_Rs_fwd_FF90,frac_Rsh_rev_FF90,frac_Rsh_fwd_FF90,t_FF95,FF_0,dFFdt,ddFFdt2
0,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_35C_40RH_air,YM7-2,EP4,TRUE,TRUE,TRUE,FALSE,35,40,21,1,1,0.001268693,8.16E+17,4.96E+16,0.026350003,9.64916E+15,6.32E+17,2.84E+17,14.38155003,517.5240768,1.970760313,21.89309768,0.657857755,120,1.161409902,1.88084E+14,6.10676E+14,0.397877126,-1.871778109,1.738095238,-4.479201087,-0.000157537,-0.003217972,0.850331088,0.687301587,0.767855954,-8.66E-06,-0.000213126,57319.97189,47690,43012.25842,6.967925377,59.1455964,0.019884485,0.73,0.014515674,0.02249502,0.96807453,-9.24E-06,0.000279762,-1.46E-06,-1.13E-05,0.000124494,1.70E-08,-9.92E-06,-1.87E-07,2.28E-07,-2.74E-06,7.83E-06,0.008115828,0.007586129,-9.47E-06,7.03E-05,-0.000101304,-9.42E-06,2.68E-05,0.000120461,2.18E-07,-1.82E-06,-7.25E-06,2.22E-07,-6.22E-07,-7.80E-06,-0.000264752,4.96E-05,3405,,3270,3405,,3210,0.002653315,-0.002953155,-0.002321115,0.001862357,0.004473978,-0.001181753,0.000940891,-0.004872358,-0.00603256,-6.11E-07,9.89374E+13,-0.000953545,0.004020558,0.001008643,-1.23E-06,0.000152879,9.58E-05,-1.62E-05,-5.21E-05,0.000102267,-5.78E-05,0.000104886,8.85E-05,-0.000711778,-0.001103848,3.31E-06,-0.000152263,-5.92E-05,1995,3615,270,0.750388686,-5.41E-05,2.31E-06,0.424262058,76682.9419,0.931007055,0.011705557,0.013765771,1995,1,223.3659638,0.116722555,5977.528481,0.000658305,0.988583598,0.004388828,0.005599675,3360,-7.67E-18,8.08E-14,-3.15E-10,5.48E-07,-0.000439435,0.985583683,0.994862969,0.00253992,0.003756248,3435,0.89017281,0.734192438,0.002411865,239.6644083,3908.783537,4185.104031,0.975491598,0.006700528,0.008204568,3540,2430,2805,53.33348116,2410189.129,2.062571855,4.40E-05,1.00E-05,0.023082065,2438077.096,6.007207095,4.57E-05,-0.022339224,53.35656323,27887.9673,3.944635241,1.70E-06,-0.022329216,9.06E-05,-22500.11096,-0.004621473,-1.93E-07,9.67E-06,0.079624552,8.757250855,-0.006513289,-1.46E-08,9.45E-06,4.44E-05,1108.863919,-4.94E-05,1.01E-09,-2.19E-07,-0.003389902,-19.89773435,0.000125802,3.73E-10,-2.35E-07,0.245083375,1011.743756,0.46880952,0.003835263,2865,0.666564269,0.000195519,-1.35E-05
1,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_35C_50RH_air,YM7-12,EP4,TRUE,TRUE,TRUE,FALSE,35,50,21,1,1,0.001448676,7.13E+17,5.39E+16,0.024486915,1.20E+16,6.65E+17,1.84E+17,3.650694783,38.51428941,7.307016458,286.9664744,0.17707752,120,1.164839473,-6.04189E+14,9.05829E+14,0.578565195,-2.781746724,-2.69047619,-3.333258338,0.000161684,0.006094265,0.776156955,0.646031746,0.592070522,-1.61E-05,-0.000555976,60516.33847,52370,36115.63837,6.84645685,57.56214514,0.019907977,0.76,0.015130062,0.022648473,0.9789394,-1.10E-05,0.000261905,-3.45E-06,-1.68E-05,0.000164488,-1.33E-07,-7.94E-07,-1.25E-07,1.01E-07,3.23E-06,7.33E-07,0.005188199,0.020918769,-1.39E-05,5.72E-05,0.000228445,-1.37E-05,4.05E-05,0.000320803,5.10E-08,9.78E-07,-1.49E-05,4.84E-08,3.32E-07,-1.25E-05,-0.000255933,0.000186876,4080,,2085,4080,,1950,0.003545252,-0.002460008,-0.001658376,-0.000283763,0.003809673,0.000763717,0.003766491,-0.006122257,-0.006714015,-0.007146018,8.80594E+12,-0.009727156,-0.001934999,-0.000405417,7.56E-05,0.000223716,1.22E-05,0.000212413,6.71E-05,8.26E-05,-0.000400595,0.000747545,0.000804074,0.000823484,0.000797464,0.000977159,0.000277202,6.73E-05,1515,1710,180,0.596791532,-2.79E-05,2.17E-06,0.414610719,100000,0.8918196,0.010702865,0.014043704,1995,1,156.704445,0.112403034,7522.586457,0.000496328,0.990588219,0.003196959,0.004142316,4110,-3.60E-18,4.04E-14,-1.69E-10,3.21E-07,-0.000291257,0.954501837,0.973135064,0.004815535,0.006998424,4050,0.884297175,0.747235771,0.002916596,173.6886991,4643.21746,4871.202538,0.985004567,0.004103779,0.005228618,3540,3045,1695,84.58492189,38313.1639,3.687123543,3.91E-05,0.000149772,0.000989293,48313.52164,5.881761451,3.91E-05,-0.022453795,84.58591118,10000.35774,2.194637907,8.58E-10,-0.022603567,0.000369231,-211.428637,-0.008580716,-2.61E-07,1.42E-05,-0.230361771,328.6180979,0.006542542,5.45E-10,1.51E-05,1.75E-05,6.432619998,0.000182402,8.36E-09,-5.94E-08,0.009614366,-7.62692006,-0.000352901,-1.31E-11,-1.35E-07,0.512124473,46660.09127,0.585981287,0.088612824,1650,0.68241093,0.000258722,-1.08E-05
2,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_40RH_air,YM7-10,EP4,FALSE,FALSE,FALSE,FALSE,45,40,21,1,1,0.001071402,4.15E+17,4.57E+16,0.02826219,7.1906E+15,3.91E+17,1.35E+17,0.091099411,1.293997128,0.338820336,3.245998193,0.546562962,120,1.157040433,3.18609E+13,5.23779E+14,0.460950233,-56.94734928,-53.19047619,-10.02027571,0.000201028,0.005104593,1.775876806,1.431746032,1.00492085,-3.61E-05,-0.000546867,67710.4888,58170,40078.55814,6.582517518,53.23877371,0.019204098,0.75,0.014403074,0.02123712,0.95940052,-1.64E-05,0.00039881,-5.24E-06,-1.61E-05,0.000172225,1.62E-08,-3.97E-07,-6.13E-09,2.29E-07,-2.79E-06,1.60E-06,0.007237847,0.012745486,-1.47E-05,0.00010939,8.08E-05,-1.46E-05,4.74E-05,0.000205753,2.08E-07,-1.34E-06,-9.81E-06,2.09E-07,-1.06E-06,-3.05E-06,-0.001710067,0.000107307,3540,,3360,3435,,3285,0.00438127,-0.003382055,-0.001374778,0.000898075,0.004951498,-0.002489188,0.00170227,-0.021039843,-0.011909228,-0.004334493,5.60382E+14,0.0441164,-0.001683742,0.000398909,-0.000237194,0.000313008,0.000202072,9.07E-05,-0.00027337,0.000157709,-0.000159701,0.003937305,0.001648011,0.000650565,-8.36E-05,-0.004924164,0.000192814,-2.67E-05,1275,1860,180,0.591910631,0.000377002,-1.10E-06,0.77060613,100000,-0.207601176,0.113452336,0.119733413,1995,7.25E-37,170.1075695,0.085924501,3650.628591,0.01043192,0.113605349,0.091905388,0.102581055,3540,2.67E-17,-2.58E-13,8.02E-10,-8.62E-07,0.000195807,0.91446106,0.772150519,0.039151975,0.052008894,4050,0.765106789,1,0.299830018,1737.490069,1890.000015,24358.21353,0.514833001,0.061108502,0.075892564,3540,3480,3120,27.41539443,567787.269,0.813014437,6.40E-06,4.03E-06,4.819535023,643013.4506,4.486163188,7.64E-06,-0.021088428,32.23492945,75226.18157,3.673148751,1.24E-06,-0.021092462,-0.013319618,6249.613111,-0.003081353,-4.01E-08,1.47E-05,0.052592583,-890.6562216,-0.007898951,-1.25E-08,1.45E-05,1.18E-05,93.87235526,2.28E-05,7.25E-10,-2.09E-07,-0.000758623,-41.17985115,-6.77E-05,1.75E-10,-2.15E-07,0.23157601,3.93182689,0.066168815,0.006164371,1590,0.706902657,0.00017208,-5.75E-06
3,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_60RH_air,YM7-6,EP4,TRUE,TRUE,TRUE,FALSE,45,60,21,1,1,0.000879826,4.21E+17,4.14E+16,0.03187487,7.87524E+15,4.12E+17,8.65E+16,-0.102966653,-0.078829707,0.141230077,-0.059029258,0.482552083,120,1.151947616,-6.9453E+13,5.33384E+14,0.484795107,13.10926804,-23.85714286,36.38236707,-0.01475209,-0.216825895,0.017801255,-0.212698413,0.887052929,-3.66E-06,0.000210197,63677.92087,56040,32697.76621,6.763207673,57.44616006,0.019065543,0.78,0.014871124,0.021499482,0.98094642,-1.58E-05,0.000333333,-6.49E-06,-1.80E-05,9.68E-05,5.32E-08,-3.97E-06,-3.79E-08,2.41E-07,4.52E-07,5.68E-06,0.009669996,0.002188376,-1.63E-05,4.11E-05,4.76E-05,-1.62E-05,0.00012975,0.000259253,1.85E-07,4.86E-07,-8.07E-06,1.85E-07,-1.41E-06,-1.08E-05,-9.51E-05,5.35E-05,2475,,1815,2475,,1815,0.004802303,-0.004129658,-0.003597295,-0.001821205,0.004966476,-0.00122746,5.77E-05,-0.003542448,-0.047030109,0.006899908,-3.42E+16,0.003349298,-0.002401716,-1.41E-05,-0.000182036,0.000277931,0.00020956,0.000132519,-0.000190278,0.0001015,-0.000204734,-0.002238869,-0.015677791,0.001845641,-0.019266761,0.002485758,0.000275196,4.62E-06,1080,1725,225,0.513486712,0.000457967,1.35E-05,0.38728536,81118.38686,0.952343099,0.007275516,0.010625295,1995,0.489392771,1287.315858,0.285422584,2797.788552,0.009168886,0.990430711,0.003701476,0.004761217,2490,-3.11E-17,1.87E-13,-4.29E-10,4.94E-07,-0.000353529,0.963806907,0.984509621,0.004353694,0.006057719,2475,0.890104036,0.738604324,0.996859498,130.6440982,2875.006386,1487.416499,0.94019434,0.009965882,0.011902803,3540,1860,1305,39.5171596,90537.53599,1.374377202,1.11E-05,9.78E-06,0.013510111,206386.2965,4.832350593,1.17E-05,-0.021308533,39.53066971,115848.7605,3.457973391,6.60E-07,-0.021298753,-5.79E-05,1753.504758,-0.000464404,-1.93E-08,1.64E-05,-0.206388447,6146.301269,0.006260799,2.03E-08,1.62E-05,-6.46E-06,409.7501943,9.44E-05,1.66E-09,-1.86E-07,0.004606586,-55.59911188,-0.000135292,-3.61E-10,-1.87E-07,0.142249,1211.448187,0.361485618,0.066710527,1260,0.705132144,0.000236095,-1.01E-05
4,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_50RH_air,YM7-4,EP4,TRUE,TRUE,TRUE,FALSE,45,50,21,1,1,0.000980567,2.25E+17,4.49E+16,0.029426042,8.17048E+15,1.95E+17,9.77E+16,8.785186781,430.7874888,7.759409528,136.6759426,0.718360521,120,1.154750139,3.51567E+14,7.78952E+14,0.605462182,-7.119505421,0.404761905,-5.134788788,-0.000658391,-0.007335221,1.401099316,1.198412698,0.918043268,-2.40E-06,6.20E-05,65531.3429,56230,37641.71818,6.304030035,49.46374951,0.020518815,0.75,0.015389111,0.023101143,0.985817,-1.97E-05,0.000595238,-3.75E-06,-2.14E-05,0.000112774,2.25E-07,-7.14E-06,9.60E-09,4.60E-07,3.54E-06,7.23E-06,0.000995858,0.016817735,-2.06E-05,0.000133971,0.000183975,-2.04E-05,0.000129185,0.000539236,4.25E-07,5.54E-07,-1.14E-05,4.27E-07,1.91E-06,-1.46E-05,0.001037791,9.06E-05,2550,,2205,2550,,2205,0.015019726,-0.00232115,-0.002559306,-0.000790914,0.018241231,0.00054359,-0.002217984,-0.007782116,-0.00733579,-0.007583072,2.47364E+13,-0.010789573,-0.003542306,-0.000991007,-0.000358495,0.000141978,5.41E-05,0.000210804,-0.000491858,0.000121773,-8.09E-05,0.00072331,0.000758705,0.000798731,0.000814104,-4.17E-06,0.000345311,9.43E-05,930,2205,120,0.574407856,-1.62E-05,1.79E-06,0.368952697,100000,0.90531786,0.010871192,0.014064514,1995,0.447773672,406.332648,0.211240055,3454.634542,0.002803553,0.985158957,0.004673654,0.005568304,2580,-1.11E-17,8.17E-14,-2.51E-10,3.90E-07,-0.000324626,0.949098969,0.972491045,0.005583898,0.007581022,2580,0.886259666,0.750214108,0.005,99.50807961,2823.740376,4001.586086,0.942032712,0.008909061,0.011004801,3540,2010,1725,41.87259139,127141.9254,1.450009732,1.90E-05,1.21E-05,19.41211264,187382.8769,5.123897874,2.02E-05,-0.023014191,61.28470404,60240.95148,3.673888142,1.25E-06,-0.023026276,-0.070686524,3336.647052,-0.010141601,-2.06E-07,2.07E-05,-0.095393631,-717.449824,-0.014171195,-4.46E-08,2.03E-05,0.01333786,-1160.366929,-0.00054369,-8.32E-09,-4.25E-07,0.024819789,-133.7161194,-0.000921654,-4.81E-09,-4.56E-07,0.590070894,2.376651171,0.150746262,0.053638399,1545,0.675746432,0.000431246,-1.57E-05
5,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_25C_40RH_air_bad_DF,YM7-11,EP4,TRUE,TRUE,FALSE,FALSE,25,40,21,1,1,0.002145619,1.54E+18,9.20E+16,0.028312687,4.93E+16,1.48E+18,1.53E+17,5.856923457,71.44780431,2.105050891,9.479718616,0.743669577,120,1.174993537,2.84608E+15,4.8501E+15,0.741144507,-1.881308265,-1.857142857,-0.431938657,0.004375643,0.166773245,0.103068595,0.114285714,0.01022258,-0.000401422,-0.010778769,18518.52694,18300,800.3613857,2.127941939,29.30441949,0.018300558,0.7,0.012810391,0.022965903,0.99381459,4.63E-06,6.55E-05,4.52E-06,-1.16E-05,-1.18E-05,-8.16E-07,2.26E-05,-1.35E-07,3.73E-07,-9.20E-07,1.02E-05,0.006018442,0.034050478,-1.04E-05,6.97E-05,0.000703514,-1.04E-05,6.55E-05,0.000592851,4.65E-07,1.88E-07,-1.96E-05,4.68E-07,-9.82E-06,-2.20E-05,-0.000224024,0.000144998,1380,,2550,1380,,2325,0.001691299,-0.003714859,-0.003942879,-0.002335372,0.001460008,-0.000817841,0.000410895,0.00557137,0.00998978,0.017640224,2.73867E+14,-0.006837997,-0.002503325,0.001253288,0.000302301,9.83E-05,8.18E-06,-0.000208474,0.000304152,0.000239848,5.20E-05,0.000214485,0.000183429,0.000341365,0.010180062,0.00056675,-0.000166463,-0.000288569,2280,,240,0.043219495,-1.92E-05,3.12E-07,0.618163886,10265.81586,0.99317003,0.005209164,0.005968143,1380,0.635403412,1425.657546,0.332274576,3053.412847,0.001628393,0.998041671,0.002461736,0.003195749,1395,-9.54E-17,5.12E-13,-1.04E-09,9.98E-07,-0.000565636,0.989738545,0.998900833,0.001791042,0.002394206,1380,0.891550405,0.673048249,1.00E-10,221.6136513,2003.160269,3000,0.996511897,0.002502862,0.004265054,1380,945,2190,57.73437264,39871.25728,0.814782367,9.10E-05,0.000406684,54.75038369,3152.081909,7.382616374,0.00016452,-0.023250242,112.4847563,43023.33919,6.567834007,7.35E-05,-0.022843558,-0.680789322,3874.035964,0.028637326,2.65E-06,1.20E-05,-0.212254739,-20.61427814,-0.020341753,-7.40E-07,7.96E-06,0.005020699,316.6241213,0.000392534,7.43E-08,-6.88E-07,0.028879769,20.66269005,-0.000554492,-2.50E-08,-6.14E-07,,,,,,0.561272132,0.000518201,-1.47E-05
6,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_45C_40RH_air_2,YM7-3,EP4,TRUE,TRUE,TRUE,FALSE,45,40,21,1,1,0.000889556,4.81E+17,4.39E+16,0.033432242,1.69E+16,4.73E+17,8.25E+16,-0.28069432,-0.089622928,3.714655068,19.99876496,0.70847886,120,1.152231956,4.53414E+14,1.44317E+15,0.570208982,8.220360644,4.214285714,0.540405708,-0.001564805,-0.0251939,1.120219768,0.992063492,0.226392051,-2.95E-05,-0.000466762,64183.51166,55730,36628.57532,6.435924546,49.8113956,0.020723397,0.76,0.015749781,0.02331406,0.98027311,-1.21E-05,0.00035119,-2.33E-06,-1.29E-05,7.77E-05,9.59E-08,-1.98E-06,2.61E-08,9.88E-08,6.43E-07,6.50E-06,0.000763661,0.001947749,-1.24E-05,0.000105985,0.000393988,-1.23E-05,0.000116093,0.000329369,1.13E-07,-7.40E-07,1.04E-06,1.15E-07,1.59E-07,-1.25E-07,0.00177216,4.70E-05,2865,,2400,2865,,2400,0.006846314,-0.003193186,-0.003634836,-0.004363293,0.006861684,0.001462776,-0.001422635,-0.026895742,-1.207105632,-0.007452158,1.64635E+14,-0.008769296,-0.005230187,-0.000564424,-0.000101934,0.000163082,9.96E-05,2.99E-05,-0.000110662,7.96E-05,-0.000188488,-0.000954945,-0.046010844,-0.000228194,-0.000509212,-0.000387625,7.74E-05,1.13E-05,1140,2310,345,0.570685124,-6.50E-05,-6.49E-06,0.419547334,100000,0.828660607,0.013712812,0.019459615,1380,0.692665564,327.1509506,0.154812786,3441.514191,0.003460206,0.989692875,0.004178565,0.004772813,2865,-1.06E-17,7.52E-14,-2.24E-10,3.56E-07,-0.000310685,0.97598752,0.985927705,0.004660681,0.005576839,2850,0.907332066,0.778498843,1.28E-05,186.9500141,3078.795938,4338.475727,0.873718252,0.01221969,0.016706132,1380,2580,2265,29.30730636,6905767.601,1.109184971,3.48E-05,3.93E-05,0.309252084,7053488.717,5.709861097,4.47E-05,-0.023190304,29.61655844,147721.1156,4.600676126,9.86E-06,-0.023151009,0.044502991,-77110.43466,-0.015304083,-4.14E-07,1.28E-05,-0.049805129,-104.9712766,-0.010621531,-1.18E-07,1.24E-05,0.000297681,-416.452323,0.00012634,9.18E-09,-1.22E-07,0.006776079,-20.6311247,-0.000320282,-3.36E-09,-1.13E-07,0.931355953,69.01531039,0.077838508,0.002359335,1590,0.689143291,0.000239612,-2.07E-06
7,210412_MAPI_Devices,JV_PL_DF_MAPI_1sun_25C_30RH_air,YM7-5,EP4,TRUE,TRUE,TRUE,FALSE,25,30,21,1,1,0.00172283,1.08E+18,5.89E+16,0.023054393,1.78E+16,1.05E+18,1.79E+17,1.63367344,6.133095142,3.184489483,15.68201537,0.291927083,120,1.169320082,-5.21812E+14,1.36119E+15,0.577797544,-13.24472302,-10.5,-11.30148457,-0.000196294,-0.001258281,1.237605062,1.026984127,0.906341451,-2.57E-05,-0.000831363,62115.09654,54590,34094.15738,7.430072084,69.801197,0.020666628,0.7,0.01446664,0.022971172,1.0046115,-1.54E-05,0.000505952,-1.27E-06,-1.25E-05,-3.02E-05,4.67E-07,-3.53E-05,-3.78E-07,3.10E-07,-4.32E-06,1.39E-05,0.005807624,0.045338581,-1.09E-05,5.48E-05,-0.0002299,-1.09E-05,2.34E-05,0.000150261,2.73E-07,-7.03E-06,-8.33E-06,2.75E-07,-2.53E-06,-1.04E-05,-0.002708141,0.000192978,5640,,5685,5640,,4410,-0.000237937,-0.004949828,-0.003208738,-0.003343893,-0.000138335,-0.002911465,0.001123099,-0.001518069,-0.010320687,0.000328886,-1.63186E+13,-0.0051816,-0.003770624,-0.000767873,0.000466517,0.000246019,0.000112679,0.000199771,0.000473738,0.000254308,-0.000150563,-0.001200237,-0.00275768,-0.000373775,7.79E-06,0.000442966,6.74E-05,-0.000229189,3300,,300,0.548886813,-6.68E-05,3.75E-06,0.431856115,100000,0.925716615,0.011176696,0.013782703,5595,0.431861928,1483.756872,0.252497851,9249.895543,0.000836327,0.986043841,0.004627431,0.005974086,5805,-3.58E-19,6.22E-15,-4.06E-11,1.22E-07,-0.00018788,0.952236246,0.98048489,0.005596,0.00706438,5955,0.871934415,0.722965823,0.005,324.3105868,6874.635005,8416.89886,0.973822415,0.006640808,0.008181884,5700,3135,4155,13.44370452,2941.806058,0.650901791,6.98E-08,3.09E-05,109.3134909,10950.53724,3.065387187,7.19E-08,-0.022866418,95.86978635,8008.731184,2.414485397,2.17E-09,-0.022897354,-0.728889669,141.3451191,0.023672821,1.80E-07,1.22E-05,-0.11284196,-1.497765279,-0.002007836,-1.38E-11,1.13E-05,0.021995083,10.34016858,-0.000428014,3.64E-09,-3.28E-07,0.000607184,0.545130861,0.000203563,1.50E-12,-2.61E-07,,,,,,0.626882832,0.000327196,-2.25E-05
